City,quarter,x,y
REYKJAVIK,1,109,104
GLASGOW,1,151,232
DUBLIN,1,112,264
LONDON,3,157,300
AMSTERDAM,3,213,298
BRUXELLES,3,190,329
FRANKFURT,3,231,343
PARIS,3,162,354
MUNCHEN,4,245,361
ZURICH,3,227,377
MILANO,3,228,400
BORDEAUX,3,130,401
LISBOA,3,27,431
MADRID,3,84,429
BARCELONA,3,131,431
ROMA,4,245,443
PALMA_MALLORCA,3,141,468
ROVANIEMI,2,374,134
OSLO,2,265,210
STOCKHOLM,2,297,227
KOBENHAVN,2,267,270
HELSINKI,2,365,206
LENINGRAD,2,388,229
MOSKVA,2,434,255
WARSZAWA,2,338,316
BERLIN,2,276,324
PRAHA,4,276,353
WIEN,4,289,376
BUDAPEST,4,325,374
BEOGRAD,4,339,429
BUCURESTI,4,390,424
SOFIJA,4,357,449
TIRANE,4,327,477
ISTANBUL,4,405,468
ATHINAI,4,356,506
